elementary_school_id,elementary_school_name,middle_school_id,middle_school_name,education_office,school_group,male_assignment,female_assignment,single_active_candidate,official_bukbu_pdf,male_female_same_single_school,auto_exact_pass,decision,source_document,source_page,source_text,source_sha256,previous_relation_type,previous_relation_status,applied_at
S020001250,대저초,S020001210,낙동중,bukbu,중학구,낙동중,낙동중,True,True,True,True,PROMOTE_EXACT,D:\90.invest\80.데이터수집\아파트정보수집\kapt\busan_school_analysis\em_school\01.북부교육지청_2026학년도 중입배정 및 전학배정표.pdf,layout line 81,남학생 중입=낙동중; 여학생 중입=낙동중,dd8de1ed89ffc6df8b556566b5c023a712e2685dacd81aac4c9b873bd0e54371,ELIGIBLE,ACTIVE,2026-09-11T10:11:25.609479+09:00
S020001251,대천리초,S020001213,대천리중,bukbu,7학교군,대천리중,대천리중,True,True,True,True,PROMOTE_EXACT,D:\90.invest\80.데이터수집\아파트정보수집\kapt\busan_school_analysis\em_school\01.북부교육지청_2026학년도 중입배정 및 전학배정표.pdf,layout line 31,남학생 중입=대천리중; 여학생 중입=대천리중,dd8de1ed89ffc6df8b556566b5c023a712e2685dacd81aac4c9b873bd0e54371,ELIGIBLE,ACTIVE,2026-09-11T10:11:25.609479+09:00
S020001253,덕두초,S020001212,대저중,bukbu,중학구,대저중,대저중,True,True,True,True,PROMOTE_EXACT,D:\90.invest\80.데이터수집\아파트정보수집\kapt\busan_school_analysis\em_school\01.북부교육지청_2026학년도 중입배정 및 전학배정표.pdf,layout line 82,남학생 중입=대저중; 여학생 중입=대저중,dd8de1ed89ffc6df8b556566b5c023a712e2685dacd81aac4c9b873bd0e54371,ELIGIBLE,ACTIVE,2026-09-11T10:11:25.609479+09:00
S020001254,덕상초,S020000975,신라중,bukbu,,신라중,신라중,True,True,True,True,PROMOTE_EXACT,D:\90.invest\80.데이터수집\아파트정보수집\kapt\busan_school_analysis\em_school\01.북부교육지청_2026학년도 중입배정 및 전학배정표.pdf,layout line 6,남학생 중입=신라중; 여학생 중입=신라중,dd8de1ed89ffc6df8b556566b5c023a712e2685dacd81aac4c9b873bd0e54371,ELIGIBLE,ACTIVE,2026-09-11T10:11:25.609479+09:00
S020001255,덕성초,S020001216,덕천중,bukbu,7학교군,덕천중,덕천중,True,True,True,True,PROMOTE_EXACT,D:\90.invest\80.데이터수집\아파트정보수집\kapt\busan_school_analysis\em_school\01.북부교육지청_2026학년도 중입배정 및 전학배정표.pdf,layout line 32,남학생 중입=덕천중; 여학생 중입=덕천중,dd8de1ed89ffc6df8b556566b5c023a712e2685dacd81aac4c9b873bd0e54371,ELIGIBLE,ACTIVE,2026-09-11T10:11:25.609479+09:00
S020001256,덕양초,S020001871,신덕중,bukbu,7학교군,신덕중,신덕중,True,True,True,True,PROMOTE_EXACT,D:\90.invest\80.데이터수집\아파트정보수집\kapt\busan_school_analysis\em_school\01.북부교육지청_2026학년도 중입배정 및 전학배정표.pdf,layout line 33,남학생 중입=신덕중; 여학생 중입=신덕중,dd8de1ed89ffc6df8b556566b5c023a712e2685dacd81aac4c9b873bd0e54371,ELIGIBLE,ACTIVE,2026-09-11T10:11:25.609479+09:00
S020001261,만덕초,S020001219,만덕중,bukbu,7학교군,만덕중,만덕중,True,True,True,True,PROMOTE_EXACT,D:\90.invest\80.데이터수집\아파트정보수집\kapt\busan_school_analysis\em_school\01.북부교육지청_2026학년도 중입배정 및 전학배정표.pdf,layout line 35,남학생 중입=만덕중; 여학생 중입=만덕중,dd8de1ed89ffc6df8b556566b5c023a712e2685dacd81aac4c9b873bd0e54371,ELIGIBLE,ACTIVE,2026-09-11T10:11:25.609479+09:00
S020002257,명일초,S020002219,명지중,bukbu,9학교군,명지중,명지중,True,True,True,True,PROMOTE_EXACT,D:\90.invest\80.데이터수집\아파트정보수집\kapt\busan_school_analysis\em_school\01.북부교육지청_2026학년도 중입배정 및 전학배정표.pdf,layout line 69,남학생 중입=명지중; 여학생 중입=명지중,dd8de1ed89ffc6df8b556566b5c023a712e2685dacd81aac4c9b873bd0e54371,ELIGIBLE,ACTIVE,2026-09-11T10:11:25.609479+09:00
S020001263,명지초,S020002219,명지중,bukbu,8학교군,명지중,명지중,True,True,True,True,PROMOTE_EXACT,D:\90.invest\80.데이터수집\아파트정보수집\kapt\busan_school_analysis\em_school\01.북부교육지청_2026학년도 중입배정 및 전학배정표.pdf,layout line 61,남학생 중입=명지중; 여학생 중입=명지중,dd8de1ed89ffc6df8b556566b5c023a712e2685dacd81aac4c9b873bd0e54371,ELIGIBLE,ACTIVE,2026-09-11T10:11:25.609479+09:00
S020001265,모동초,S020000966,모동중,bukbu,,모동중,모동중,True,True,True,True,PROMOTE_EXACT,D:\90.invest\80.데이터수집\아파트정보수집\kapt\busan_school_analysis\em_school\01.북부교육지청_2026학년도 중입배정 및 전학배정표.pdf,layout line 11,남학생 중입=모동중; 여학생 중입=모동중,dd8de1ed89ffc6df8b556566b5c023a712e2685dacd81aac4c9b873bd0e54371,ELIGIBLE,ACTIVE,2026-09-11T10:11:25.609479+09:00
S020001266,모라초,S020001221,모라중,bukbu,,모라중,모라중,True,True,True,True,PROMOTE_EXACT,D:\90.invest\80.데이터수집\아파트정보수집\kapt\busan_school_analysis\em_school\01.북부교육지청_2026학년도 중입배정 및 전학배정표.pdf,layout line 12,남학생 중입=모라중; 여학생 중입=모라중,dd8de1ed89ffc6df8b556566b5c023a712e2685dacd81aac4c9b873bd0e54371,ELIGIBLE,ACTIVE,2026-09-11T10:11:25.609479+09:00
S020001267,모산초,S020001221,모라중,bukbu,7학교군,모라중,모라중,True,True,True,True,PROMOTE_EXACT,D:\90.invest\80.데이터수집\아파트정보수집\kapt\busan_school_analysis\em_school\01.북부교육지청_2026학년도 중입배정 및 전학배정표.pdf,layout line 14,남학생 중입=모라중; 여학생 중입=모라중,dd8de1ed89ffc6df8b556566b5c023a712e2685dacd81aac4c9b873bd0e54371,ELIGIBLE,ACTIVE,2026-09-11T10:11:25.609479+09:00
S020001268,배영초,S020002219,명지중,bukbu,8학교군,명지중,명지중,True,True,True,True,PROMOTE_EXACT,D:\90.invest\80.데이터수집\아파트정보수집\kapt\busan_school_analysis\em_school\01.북부교육지청_2026학년도 중입배정 및 전학배정표.pdf,layout line 63,남학생 중입=명지중; 여학생 중입=명지중,dd8de1ed89ffc6df8b556566b5c023a712e2685dacd81aac4c9b873bd0e54371,ELIGIBLE,ACTIVE,2026-09-11T10:11:25.609479+09:00
S020001270,백양초,S020001222,백양중,bukbu,8학교군,백양중,백양중,True,True,True,True,PROMOTE_EXACT,D:\90.invest\80.데이터수집\아파트정보수집\kapt\busan_school_analysis\em_school\01.북부교육지청_2026학년도 중입배정 및 전학배정표.pdf,layout line 41,남학생 중입=백양중; 여학생 중입=백양중,dd8de1ed89ffc6df8b556566b5c023a712e2685dacd81aac4c9b873bd0e54371,ELIGIBLE,ACTIVE,2026-09-11T10:11:25.609479+09:00
S020001874,상학초,S020001219,만덕중,bukbu,8학교군,만덕중,만덕중,True,True,True,True,PROMOTE_EXACT,D:\90.invest\80.데이터수집\아파트정보수집\kapt\busan_school_analysis\em_school\01.북부교육지청_2026학년도 중입배정 및 전학배정표.pdf,layout line 42,남학생 중입=만덕중; 여학생 중입=만덕중,dd8de1ed89ffc6df8b556566b5c023a712e2685dacd81aac4c9b873bd0e54371,ELIGIBLE,ACTIVE,2026-09-11T10:11:25.609479+09:00
S020001666,송정초,S020002064,신호중,bukbu,중학구,신호중,신호중,True,True,True,True,PROMOTE_EXACT,D:\90.invest\80.데이터수집\아파트정보수집\kapt\busan_school_analysis\em_school\01.북부교육지청_2026학년도 중입배정 및 전학배정표.pdf,layout line 86,남학생 중입=신호중; 여학생 중입=신호중,dd8de1ed89ffc6df8b556566b5c023a712e2685dacd81aac4c9b873bd0e54371,ELIGIBLE,ACTIVE,2026-09-11T10:11:25.609479+09:00
S020001873,신덕초,S020001871,신덕중,bukbu,8학교군,신덕중,신덕중,True,True,True,True,PROMOTE_EXACT,D:\90.invest\80.데이터수집\아파트정보수집\kapt\busan_school_analysis\em_school\01.북부교육지청_2026학년도 중입배정 및 전학배정표.pdf,layout line 44,남학생 중입=신덕중; 여학생 중입=신덕중,dd8de1ed89ffc6df8b556566b5c023a712e2685dacd81aac4c9b873bd0e54371,ELIGIBLE,ACTIVE,2026-09-11T10:11:25.609479+09:00
S020001281,신호초,S020002064,신호중,bukbu,중학구,신호중,신호중,True,True,True,True,PROMOTE_EXACT,D:\90.invest\80.데이터수집\아파트정보수집\kapt\busan_school_analysis\em_school\01.북부교육지청_2026학년도 중입배정 및 전학배정표.pdf,layout line 85,남학생 중입=신호중; 여학생 중입=신호중,dd8de1ed89ffc6df8b556566b5c023a712e2685dacd81aac4c9b873bd0e54371,ELIGIBLE,ACTIVE,2026-09-11T10:11:25.609479+09:00
S020001283,양천초,S020001216,덕천중,bukbu,8학교군,덕천중,덕천중,True,True,True,True,PROMOTE_EXACT,D:\90.invest\80.데이터수집\아파트정보수집\kapt\busan_school_analysis\em_school\01.북부교육지청_2026학년도 중입배정 및 전학배정표.pdf,layout line 47,남학생 중입=덕천중; 여학생 중입=덕천중,dd8de1ed89ffc6df8b556566b5c023a712e2685dacd81aac4c9b873bd0e54371,ELIGIBLE,ACTIVE,2026-09-11T10:11:25.609479+09:00
S020001287,주감초,S020001229,주감중,bukbu,7학교군,주감중,주감중,True,True,True,True,PROMOTE_EXACT,D:\90.invest\80.데이터수집\아파트정보수집\kapt\busan_school_analysis\em_school\01.북부교육지청_2026학년도 중입배정 및 전학배정표.pdf,layout line 20,남학생 중입=주감중; 여학생 중입=주감중,dd8de1ed89ffc6df8b556566b5c023a712e2685dacd81aac4c9b873bd0e54371,ELIGIBLE,ACTIVE,2026-09-11T10:11:25.609479+09:00
S020001288,주학초,S020001231,주례중,bukbu,7학교군,주례중,주례중,True,True,True,True,PROMOTE_EXACT,D:\90.invest\80.데이터수집\아파트정보수집\kapt\busan_school_analysis\em_school\01.북부교육지청_2026학년도 중입배정 및 전학배정표.pdf,layout line 21,남학생 중입=주례중; 여학생 중입=주례중,dd8de1ed89ffc6df8b556566b5c023a712e2685dacd81aac4c9b873bd0e54371,ELIGIBLE,ACTIVE,2026-09-11T10:11:25.609479+09:00
S020001290,천가초,S020001214,덕문중,bukbu,중학구,덕문중,덕문중,True,True,True,True,PROMOTE_EXACT,D:\90.invest\80.데이터수집\아파트정보수집\kapt\busan_school_analysis\em_school\01.북부교육지청_2026학년도 중입배정 및 전학배정표.pdf,layout line 84,남학생 중입=덕문중; 여학생 중입=덕문중,dd8de1ed89ffc6df8b556566b5c023a712e2685dacd81aac4c9b873bd0e54371,ELIGIBLE,ACTIVE,2026-09-11T10:11:25.609479+09:00
S020000830,여고초,S020000789,여명중,dongnae,,,,True,False,False,False,KEEP_ELIGIBLE_REVIEW,D:\90.invest\80.데이터수집\아파트정보수집\kapt\busan_school_analysis\em_school\수작업 초_중배정내역(260909).csv,CSV row 341,"동래구,여고초,여명중",c52b490a33f4d8aeb20487da9de9e4d4c0490e6fc4783e94f736797d37572dcb,ELIGIBLE,ACTIVE,2026-09-11T10:11:25.609479+09:00
S020001905,센텀초,S020001910,센텀중,haeundae,,,,True,False,False,False,KEEP_ELIGIBLE_REVIEW,D:\90.invest\80.데이터수집\아파트정보수집\kapt\busan_school_analysis\em_school\수작업 초_중배정내역(260909).csv,CSV row 11,"해운대구,센텀초,센텀중",c52b490a33f4d8aeb20487da9de9e4d4c0490e6fc4783e94f736797d37572dcb,EXACT,ACTIVE,2026-09-11T10:11:25.609479+09:00
S020001685,좌산초,S020001635,신곡중,haeundae,,,,True,False,False,False,KEEP_ELIGIBLE_REVIEW,D:\90.invest\80.데이터수집\아파트정보수집\kapt\busan_school_analysis\em_school\수작업 초_중배정내역(260908).csv,CSV row 27,"해운대구,좌산초,신곡중",a825b88e9b6036614b70096a5eda1270f9d5728d28f568a8c815bb2778817f3d,ELIGIBLE,ACTIVE,2026-09-11T10:11:25.609479+09:00
S020002312,해빛초,S020002311,일광중,haeundae,,,,True,False,False,False,KEEP_ELIGIBLE_REVIEW,D:\90.invest\80.데이터수집\아파트정보수집\kapt\busan_school_analysis\em_school\수작업 초_중배정내역(260908).csv,CSV row 38,"기장군,해빛초,일광중",a825b88e9b6036614b70096a5eda1270f9d5728d28f568a8c815bb2778817f3d,ELIGIBLE,ACTIVE,2026-09-11T10:11:25.609479+09:00
S020002001,오륙도초,S020002007,오륙도중,nambu,,,,True,False,False,False,KEEP_ELIGIBLE_REVIEW,D:\90.invest\80.데이터수집\아파트정보수집\kapt\busan_school_analysis\em_school\수작업 초_중배정내역(260909).csv,CSV row 108,"남구,오륙도초,오륙도중",c52b490a33f4d8aeb20487da9de9e4d4c0490e6fc4783e94f736797d37572dcb,ELIGIBLE,ACTIVE,2026-09-11T10:11:25.609479+09:00
