kapt_code,kapt_name,legal_dong,kapt_households,original_reason_code,recommended_next_action,review_status
A10027832,백양디이스트,만덕동,3790,LOW_MATCH_CONFIDENCE,MANUAL_KB_COMPLEX_SELECTION,STILL_PENDING
A10024249,센텀트루엘 아파트,반여동,531,LOW_MATCH_CONFIDENCE,MANUAL_KB_COMPLEX_SELECTION,STILL_PENDING
A10026557,센텀리슈빌 아파트,재송동,753,LOW_MATCH_CONFIDENCE,MANUAL_KB_COMPLEX_SELECTION,STILL_PENDING
A61202009,해운대자이,우동,1059,LOW_MATCH_CONFIDENCE,MANUAL_KB_COMPLEX_SELECTION,STILL_PENDING
A61282215,"대우마리나1,2차아파트",우동,1164,KB_COMPLEX_NOT_FOUND,CHECK_BUILDING_REGISTER,STILL_PENDING
A61203018,해운대대림2차아파트,좌동,682,KB_COMPLEX_NOT_FOUND,CHECK_BUILDING_REGISTER,STILL_PENDING
A60472901,다대푸르지오,다대동,972,HOUSEHOLDS_MISMATCH,VERIFY_OFFICIAL_HOUSEHOLDS,STILL_PENDING
A60482013,다대몰운대아파트,다대동,2960,KB_COMPLEX_NOT_FOUND,CHECK_BUILDING_REGISTER,STILL_PENDING
A60976502,부곡늘푸른아파트,부곡동,885,LOW_MATCH_CONFIDENCE,MANUAL_KB_COMPLEX_SELECTION,STILL_PENDING
A10020378,에코델타시티 푸르지오린,강동동,895,HOUSEHOLDS_MISMATCH,VERIFY_OFFICIAL_HOUSEHOLDS,STILL_PENDING
A10025923,스위트팰리스,명지동,908,MIXED_RENTAL_COMPLEX,VERIFY_RENTAL_SPLIT,STILL_PENDING
A10025154,명지화전지구우방아이유쉘아파트,화전동,1515,KB_COMPLEX_NOT_FOUND,CHECK_BUILDING_REGISTER,STILL_PENDING
A61872201,부산신호사랑으로부영1차아파트,신호동,1064,MIXED_RENTAL_COMPLEX,VERIFY_RENTAL_SPLIT,STILL_PENDING
A61872202,부산신호 사랑으로 부영2차아파트,신호동,1388,MIXED_RENTAL_COMPLEX,VERIFY_RENTAL_SPLIT,STILL_PENDING
A10022890,레이카운티 아파트,거제동,4470,MIXED_RENTAL_COMPLEX,VERIFY_RENTAL_SPLIT,STILL_PENDING
A10025258,아시아드코오롱하늘채,거제동,660,LOW_MATCH_CONFIDENCE,MANUAL_KB_COMPLEX_SELECTION,STILL_PENDING
A61175209,연산한양아파트,연산동,1452,LOW_MATCH_CONFIDENCE,MANUAL_KB_COMPLEX_SELECTION,STILL_PENDING
A10025075,e편한세상 오션테라스,민락동,1038,LOW_MATCH_CONFIDENCE,MANUAL_KB_COMPLEX_SELECTION,STILL_PENDING
A61776104,주례반도보라매머드아파트,주례동,1206,KB_COMPLEX_NOT_FOUND,CHECK_BUILDING_REGISTER,STILL_PENDING
A61776303,주례럭키아파트,주례동,2293,LOW_MATCH_CONFIDENCE,MANUAL_KB_COMPLEX_SELECTION,STILL_PENDING
A61990514,기장한신그린코아아파트,기장읍,1131,KB_COMPLEX_NOT_FOUND,CHECK_BUILDING_REGISTER,STILL_PENDING
A61970311,기장서부주공아파트,기장읍,702,KB_COMPLEX_NOT_FOUND,CHECK_BUILDING_REGISTER,STILL_PENDING
A61990609,기장2주공아파트,기장읍,520,KB_COMPLEX_NOT_FOUND,CHECK_BUILDING_REGISTER,STILL_PENDING
A10028081,정관이지더원3차아파트,정관읍,1035,KB_COMPLEX_NOT_FOUND,CHECK_BUILDING_REGISTER,STILL_PENDING
A61990110,정관신도시이지더원1차,정관읍,978,KB_COMPLEX_NOT_FOUND,CHECK_BUILDING_REGISTER,STILL_PENDING
A61996106,EGthe12차,정관읍,756,KB_COMPLEX_NOT_FOUND,CHECK_BUILDING_REGISTER,STILL_PENDING
A10027503,정관양우내안애,정관읍,830,HOUSEHOLDS_MISMATCH,VERIFY_OFFICIAL_HOUSEHOLDS,STILL_PENDING
A10023912,일광한신더휴센트럴포레,일광읍,1298,LOW_MATCH_CONFIDENCE,MANUAL_KB_COMPLEX_SELECTION,STILL_PENDING
